date,country,newcases
2021-05-29,bosnia and herzegovina,
2021-05-30,bosnia and herzegovina,
2021-05-31,bosnia and herzegovina,173
2021-06-01,bosnia and herzegovina,81
2021-06-02,bosnia and herzegovina,79
2021-06-03,bosnia and herzegovina,80
2021-06-04,bosnia and herzegovina,52
2021-06-05,bosnia and herzegovina,
2021-06-06,bosnia and herzegovina,
2021-06-07,bosnia and herzegovina,106
2021-06-08,bosnia and herzegovina,45
2021-06-09,bosnia and herzegovina,57
2021-06-10,bosnia and herzegovina,55
2021-06-11,bosnia and herzegovina,30
2021-06-12,bosnia and herzegovina,
2021-06-13,bosnia and herzegovina,
2021-06-14,bosnia and herzegovina,71
2021-06-15,bosnia and herzegovina,29
2021-06-16,bosnia and herzegovina,33
2021-06-17,bosnia and herzegovina,61
2021-06-18,bosnia and herzegovina,23
2021-06-19,bosnia and herzegovina,
2021-06-20,bosnia and herzegovina,
2021-06-21,bosnia and herzegovina,46
2021-06-22,bosnia and herzegovina,26
2021-06-23,bosnia and herzegovina,24
2021-06-24,bosnia and herzegovina,26
2021-06-25,bosnia and herzegovina,9
2021-06-26,bosnia and herzegovina,
2021-06-27,bosnia and herzegovina,
2021-06-28,bosnia and herzegovina,46
2021-06-29,bosnia and herzegovina,13
2021-06-30,bosnia and herzegovina,18
2021-07-01,bosnia and herzegovina,10
2021-07-02,bosnia and herzegovina,15
2021-07-03,bosnia and herzegovina,
2021-07-04,bosnia and herzegovina,
2021-07-05,bosnia and herzegovina,
2021-07-06,bosnia and herzegovina,
2021-07-07,bosnia and herzegovina,
2021-07-08,bosnia and herzegovina,
2021-07-09,bosnia and herzegovina,
2021-07-10,bosnia and herzegovina,98
2021-07-11,bosnia and herzegovina,
2021-07-12,bosnia and herzegovina,36
2021-07-13,bosnia and herzegovina,33
2021-07-14,bosnia and herzegovina,24
2021-07-15,bosnia and herzegovina,29
2021-07-16,bosnia and herzegovina,18
2021-07-17,bosnia and herzegovina,
2021-07-18,bosnia and herzegovina,
2021-07-19,bosnia and herzegovina,28
2021-07-20,bosnia and herzegovina,27
2021-07-21,bosnia and herzegovina,5
2021-07-22,bosnia and herzegovina,39
2021-07-23,bosnia and herzegovina,36
2021-07-24,bosnia and herzegovina,
2021-07-25,bosnia and herzegovina,
2021-07-26,bosnia and herzegovina,75
